Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 65.0.3325.181,,2018-04-09 18:42:23,2018-04-09 18:42:31,8.191s,PASSED
,,,,,,
Test Cases/Guru99DemoLogin,Chrome 65.0.3325.181,,2018-04-09 18:42:23,2018-04-09 18:42:31,7.269s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-09 18:42:23,2018-04-09 18:42:30,6.214s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-09 18:42:30,2018-04-09 18:42:30,0.274s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-09 18:42:30,2018-04-09 18:42:30,0.142s,PASSED
click,Chrome 65.0.3325.181,,2018-04-09 18:42:30,2018-04-09 18:42:31,0.391s,PASSED
