Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 65.0.3325.181,,2018-04-09 17:12:03,2018-04-09 17:12:11,7.821s,PASSED
,,,,,,
Test Cases/Guru99DemoLogin,Chrome 65.0.3325.181,,2018-04-09 17:12:04,2018-04-09 17:12:11,6.790s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-09 17:12:04,2018-04-09 17:12:10,5.648s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-09 17:12:10,2018-04-09 17:12:10,0.198s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-09 17:12:10,2018-04-09 17:12:10,0.171s,PASSED
click,Chrome 65.0.3325.181,,2018-04-09 17:12:10,2018-04-09 17:12:11,0.501s,PASSED
