Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 66.0.3359.181,,2018-06-07 06:10:45,2018-06-07 06:10:52,7.429s,PASSED
,,,,,,
Test Cases/Guru99DemoLogin,Chrome 66.0.3359.181,,2018-06-07 06:10:45,2018-06-07 06:10:51,6.426s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-07 06:10:45,2018-06-07 06:10:51,5.504s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-07 06:10:51,2018-06-07 06:10:51,0.164s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-07 06:10:51,2018-06-07 06:10:51,0.117s,PASSED
click,Chrome 66.0.3359.181,,2018-06-07 06:10:51,2018-06-07 06:10:51,0.376s,PASSED
