Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 65.0.3325.181,,2018-04-09 06:32:37,2018-04-09 06:32:46,8.611s,PASSED
,,,,,,
Test Cases/Guru99DemoLogin,Chrome 65.0.3325.181,,2018-04-09 06:32:37,2018-04-09 06:32:45,7.689s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-09 06:32:38,2018-04-09 06:32:44,6.754s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-09 06:32:44,2018-04-09 06:32:45,0.173s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-09 06:32:45,2018-04-09 06:32:45,0.135s,PASSED
click,Chrome 65.0.3325.181,,2018-04-09 06:32:45,2018-04-09 06:32:45,0.390s,PASSED
