Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 66.0.3359.181,,2018-06-07 18:50:10,2018-06-07 18:50:19,8.385s,PASSED
,,,,,,
Test Cases/Guru99DemoLogin,Chrome 66.0.3359.181,,2018-06-07 18:50:10,2018-06-07 18:50:18,7.420s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-07 18:50:11,2018-06-07 18:50:17,6.487s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-07 18:50:17,2018-06-07 18:50:17,0.174s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-07 18:50:17,2018-06-07 18:50:17,0.119s,PASSED
click,Chrome 66.0.3359.181,,2018-06-07 18:50:17,2018-06-07 18:50:18,0.405s,PASSED
