Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 66.0.3359.117,,2018-04-22 10:56:04,2018-04-22 10:56:11,7.263s,PASSED
,,,,,,
Test Cases/Guru99DemoLogin,Chrome 66.0.3359.117,,2018-04-22 10:56:05,2018-04-22 10:56:11,6.212s,PASSED
openBrowser,Chrome 66.0.3359.117,,2018-04-22 10:56:05,2018-04-22 10:56:10,5.288s,PASSED
setText,Chrome 66.0.3359.117,,2018-04-22 10:56:10,2018-04-22 10:56:10,0.200s,PASSED
setText,Chrome 66.0.3359.117,,2018-04-22 10:56:10,2018-04-22 10:56:10,0.115s,PASSED
click,Chrome 66.0.3359.117,,2018-04-22 10:56:10,2018-04-22 10:56:11,0.392s,PASSED
